18-12-02-19:33:44----
AT Ready

18-12-02-19:34:09----Welcome Sweet Robot
18-12-02-19:34:15----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:21----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:30----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:46----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:49----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:56----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:34:58----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:02----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:06----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:10----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:17----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:19----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:22----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:35:24----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:36:16----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:20----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:24----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:27----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:30----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:33----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:36----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:38----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:45----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:50----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:39:54----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:40:01----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:40:05----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:43:08----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:43:13----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:43:15----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:43:20----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:43:24----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:12----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:26----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:32----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:34----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:39----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:40----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:44:55----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:00----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:02----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:06----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:50----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:54----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:45:56----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:46:00----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:50:36----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:50:44----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:22----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:31----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:33----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:38----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:40----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:44----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:46----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:55:50----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:27----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:33----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:35----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:41----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:43----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:57:53----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:00----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:06----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:10----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:16----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:20----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-19:58:26----*STOP#----cmd_left_motor sended----cmd_right_motor sended

18-12-02-20:10:03----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:10:15----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:10:16----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:10:26----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:08----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:17----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:19----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:23----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:25----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:29----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:31----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:35----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:50----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:57----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:12:59----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:13:04----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:13:06----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:13:11----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:13:13----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:13:18----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:17:49----*BACK#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:17:56----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:17:58----*AHEAD#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:04----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:06----*LEFT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:11----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:12----*STOP#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:13----*RIGHT#----cmd_left_motor sended----cmd_right_motor sended
18-12-02-20:18:18----*STOP#----cmd_left_motor sended----cmd_right_motor sended
